ticker,name,description,expense_ratio,sector,theme_tags,risk_level,AUM,performance_1yr,volatility,dividend_yield
PHO,Invesco Water Resources ETF,Focuses on companies that create products designed to conserve and purify water.,0.59,Utilities,"Water, Infrastructure",Low,1800,7.80%,Low,0.85%
BATT,Amplify Lithium & Battery Technology ETF,Invests in companies involved in lithium and battery technology.,0.59,Basic Materials,"Lithium, Battery Technology, EVs",High,200,-18.00%,High,0.00%
FTXO,First Trust Nasdaq Oil & Gas Exploration & Production ETF,Focuses on oil and gas exploration and production companies.,0.6,Energy,"Oil & Gas, Energy",High,100,22.00%,High,1.80%
FAN,First Trust Global Wind Energy ETF,Invests in companies involved in the global wind energy industry.,0.6,Utilities,"Wind Energy, Renewables",Medium,150,-18.00%,High,0.00%
CNRG,SPDR S&P Kensho Clean Power ETF,Invests in companies involved in clean power generation and technology.,0.45,Utilities,"Clean Power, Renewables",Medium,80,-15.00%,Medium,0.00%
GHYG,Nuveen Short-Term High Yield ETF,Invests in short-term high-yield corporate bonds.,0.35,Fixed Income,"High Yield Bonds, Income",Medium,200,3.00%,Low,5.00%
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Tracks a high-yield corporate bond index.,0.48,Fixed Income,"High Yield Bonds, Income",Medium,12000,4.00%,Low,5.50%
JNK,SPDR Bloomberg High Yield Bond ETF,Another popular high-yield corporate bond ETF.,0.4,Fixed Income,"High Yield Bonds, Income",Medium,8000,4.20%,Low,5.30%
TLT,iShares 20+ Year Treasury Bond ETF,Invests in long-term U.S. Treasury bonds.,0.15,Fixed Income,"Long-term Bonds, Interest Rates",Low,30000,-5.00%,Medium,4.50%
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Invests in investment-grade intermediate-term corporate bonds.,0.04,Fixed Income,"Corporate Bonds, Income",Low,40000,1.50%,Low,3.80%
BND,Vanguard Total Bond Market ETF,Tracks the total U.S. investment-grade bond market.,0.03,Fixed Income,"Broad Market Bonds, Income",Low,100000,2.00%,Low,3.50%
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Tracks an index of U.S. dollar-denominated investment-grade corporate bonds.,0.14,Fixed Income,"Corporate Bonds, Income",Low,30000,2.50%,Low,4.20%
MBB,iShares MBS ETF,Invests in U.S. agency mortgage-backed securities (MBS).,0.05,Fixed Income,"MBS, Real Estate Debt",Low,20000,1.00%,Low,3.70%
TIP,iShares TIPS Bond ETF,Invests in U.S. Treasury Inflation-Protected Securities (TIPS).,0.19,Fixed Income,"Inflation Protection, TIPS",Low,25000,0.50%,Low,2.50%
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF,Focuses on short-term TIPS.,0.05,Fixed Income,"Inflation Protection, Short-term TIPS",Low,15000,0.80%,Low,2.30%
MUNI,PIMCO Municipal Bond Income Active ETF,Actively managed ETF investing in municipal bonds.,0.55,Fixed Income,"Municipal Bonds, Tax-Exempt Income",Low,500,3.00%,Low,2.80%
TFI,iShares Short-Term National Muni Bond ETF,Invests in short-term municipal bonds across the U.S.,0.1,Fixed Income,"Municipal Bonds, Short-term",Low,5000,1.50%,Low,2.00%
HYDD,Global X SuperDividend® U.S. ETF,Invests in 50 of the highest dividend-yielding equity securities in the U.S.,0.45,Multi-Sector,"High Dividend, Income",Medium,200,6.00%,Medium,5.80%
SRET,Global X SuperDividend® REIT ETF,Invests in 30 of the highest dividend-yielding REITs globally.,0.6,Real Estate,"High Dividend, REITs",Medium,300,3.00%,Medium,7.50%
SDIV,Global X SuperDividend® ETF,Invests in 100 of the highest dividend-yielding equity securities in the world.,0.59,Multi-Sector,"High Dividend, Global Income",Medium,800,4.00%,Medium,6.00%
DIV,Global X S&P 500 Quality Dividend ETF,Focuses on S&P 500 companies with high quality and sustainable dividends.,0.2,Multi-Sector,"Quality Dividend, Income",Low,100,8.00%,Low,2.80%
DGRO,iShares Core Dividend Growth ETF,Invests in U.S. companies with a consistent history of growing dividends.,0.08,Multi-Sector,"Dividend Growth, Income",Low,30000,10.00%,Low,2.20%
VYM,Vanguard High Dividend Yield ETF,Tracks an index of U.S. companies that have high dividend yields.,0.06,Multi-Sector,"High Dividend, Income",Low,50000,8.50%,Low,3.00%
HDV,iShares Core High Dividend ETF,Invests in U.S. equities that have a high dividend yield.,0.08,Multi-Sector,"High Dividend, Income",Low,15000,7.00%,Low,3.20%
SCHD,Schwab U.S. Dividend Equity ETF,Tracks companies with a record of paying consistent dividends.,0.06,Multi-Sector,"Dividend Equity, Income",Low,60000,11.00%,Low,3.00%
PFF,iShares Preferred and Income Securities ETF,Invests in preferred stocks and other income-generating securities.,0.46,Fixed Income,"Preferred Stock, Income",Low,18000,5.00%,Low,5.80%
PGX,Invesco Preferred ETF,Tracks a market-value-weighted index of preferred stocks.,0.5,Fixed Income,"Preferred Stock, Income",Low,7000,5.20%,Low,5.70%
CATH,Global X S&P 500 Catholic Values ETF,Invests in S&P 500 companies that adhere to Catholic values principles.,0.29,Multi-Sector,"ESG, Catholic Values",Medium,100,14.00%,Medium,1.30%
KRMA,Global X Conscious Companies ETF,Invests in companies that demonstrate strong ESG and stakeholder alignment.,0.45,Multi-Sector,"ESG, Conscious Capitalism",Medium,50,10.00%,Medium,0.50%
DBLN,Global X MSCI Latin America ETF,Invests in companies in Latin American countries.,0.49,Multi-Region,"Latin America, Emerging Markets",High,80,-5.00%,High,2.50%
TUR,iShares MSCI Turkey ETF,Provides exposure to equity markets in Turkey.,0.59,Multi-Region,"Turkey, Emerging Markets",Very High,100,20.00%,Extremely High,3.00%
EWZ,iShares MSCI Brazil ETF,Provides exposure to equity markets in Brazil.,0.59,Multi-Region,"Brazil, Emerging Markets",High,5000,10.00%,Very High,3.50%
EEM,iShares MSCI Emerging Markets ETF,Tracks a broad range of emerging market equities.,0.68,Multi-Region,"Emerging Markets, Global",Medium,20000,6.00%,Medium,2.20%
IEMG,iShares Core MSCI Emerging Markets ETF,A core ETF for emerging markets exposure with lower expense.,0.11,Multi-Region,"Emerging Markets, Global",Medium,90000,7.00%,Medium,2.00%
EFA,iShares MSCI EAFE ETF,Tracks developed markets outside of North America.,0.35,Multi-Region,"Developed Markets, International",Medium,50000,8.00%,Medium,2.80%
VEA,Vanguard FTSE Developed Markets ETF,"Invests in large, mid, and small-cap companies in developed international markets.",0.05,Multi-Region,"Developed Markets, International",Medium,150000,7.00%,Medium,2.80%
IJH,iShares Core S&P Mid-Cap ETF,Tracks the S&P MidCap 400 Index.,0.05,Multi-Sector,"Mid Cap, US Equity",Low,70000,12.00%,Medium,1.20%
IJR,iShares Core S&P Small-Cap ETF,Tracks the S&P SmallCap 600 Index.,0.07,Multi-Sector,"Small Cap, US Equity",Medium,60000,8.00%,Medium,1.00%
IVOO,Vanguard S&P Mid-Cap 400 ETF,Tracks the S&P Mid-Cap 400 Index.,0.1,Multi-Sector,"Mid Cap, US Equity",Low,5000,11.50%,Medium,1.20%
IWM,iShares Russell 2000 ETF,"Tracks the Russell 2000 Index, representing small-cap U.S. equities.",0.19,Multi-Sector,"Small Cap, US Equity",Medium,55000,7.00%,Medium,1.00%
VBR,Vanguard Small-Cap Value ETF,Invests in small-cap value stocks in the U.S.,0.07,Multi-Sector,"Small Cap, Value",Medium,30000,9.00%,Medium,1.50%
VBK,Vanguard Small-Cap Growth ETF,Invests in small-cap growth stocks in the U.S.,0.07,Multi-Sector,"Small Cap, Growth",Medium,20000,6.00%,Medium,0.80%
VONG,Vanguard S&P 500 Growth ETF,Tracks the S&P 500 Growth Index.,0.1,Multi-Sector,"Large Cap, Growth",Medium,40000,25.00%,Medium,0.50%
VONV,Vanguard S&P 500 Value ETF,Tracks the S&P 500 Value Index.,0.1,Multi-Sector,"Large Cap, Value",Low,30000,8.00%,Low,2.50%
MGK,Vanguard Mega Cap Growth ETF,Invests in mega-cap growth stocks.,0.07,Multi-Sector,"Mega Cap, Growth",Medium,15000,28.00%,Medium,0.40%
MGV,Vanguard Mega Cap Value ETF,Invests in mega-cap value stocks.,0.07,Multi-Sector,"Mega Cap, Value",Low,10000,9.00%,Low,2.60%
ACWV,iShares Edge MSCI Min Vol Global ETF,Seeks to track global equities with lower volatility characteristics.,0.2,Multi-Sector,"Low Volatility, Global",Low,1000,6.00%,Low,2.00%
SPLV,Invesco S&P 500 Low Volatility ETF,Tracks the S&P 500 companies with the lowest volatility.,0.25,Multi-Sector,"Low Volatility, US Equity",Low,9000,5.00%,Low,2.50%
USMV,iShares MSCI USA Min Vol Factor ETF,Focuses on U.S. equities with lower volatility characteristics.,0.15,Multi-Sector,"Low Volatility, US Equity",Low,30000,7.00%,Low,2.30%
QUAL,iShares MSCI USA Quality Factor ETF,"Tracks U.S. companies with high quality characteristics (e.g., stable earnings, low debt).",0.15,Multi-Sector,"Quality Factor, US Equity",Low,30000,15.00%,Low,1.00%
VLUE,iShares MSCI USA Value Factor ETF,Focuses on U.S. companies with lower valuations based on fundamental factors.,0.15,Multi-Sector,"Value Factor, US Equity",Medium,15000,10.00%,Medium,2.00%
MTUM,iShares MSCI USA Momentum Factor ETF,Tracks U.S. companies exhibiting strong price momentum.,0.15,Multi-Sector,"Momentum Factor, US Equity",Medium,20000,20.00%,Medium,0.50%
SIZE,iShares MSCI USA Size Factor ETF,Focuses on U.S. companies based on their market capitalization.,0.15,Multi-Sector,"Size Factor, US Equity",Medium,500,8.00%,Medium,1.20%
GSLC,Goldman Sachs ActiveBeta® U.S. Large Cap Equity ETF,A multi-factor ETF investing in large-cap U.S. equities.,0.09,Multi-Sector,"Multi-Factor, US Equity",Low,10000,14.00%,Low,1.30%
ONEQ,Fidelity Nasdaq Composite Index ETF,"Tracks the Nasdaq Composite Index, including all Nasdaq-listed stocks.",0.21,Multi-Sector,"Tech-heavy, Broad Market",Medium,500,20.00%,Medium,0.80%
FNCM,Fidelity Nasdaq Composite Index ETF,"Similar to ONEQ, tracks the Nasdaq Composite Index.",0.21,Multi-Sector,"Tech-heavy, Broad Market",Medium,500,20.00%,Medium,0.80%
QQQ,Invesco QQQ Trust,"Tracks the Nasdaq-100 Index, composed of the 100 largest non-financial companies on Nasdaq.",0.2,Technology,"Large Cap Tech, Growth",High,250000,35.00%,High,0.50%
SPY,SPDR S&P 500 ETF Trust,Tracks the S&P 500 Index.,0.09,Multi-Sector,"Broad Market, Large Cap",Low,500000,15.00%,Low,1.30%
DIA,SPDR Dow Jones Industrial Average ETF Trust,Tracks the Dow Jones Industrial Average.,0.16,Multi-Sector,"Blue Chip, Large Cap",Low,30000,12.00%,Low,1.80%
TLT,iShares 20+ Year Treasury Bond ETF,Invests in long-term U.S. Treasury bonds.,0.15,Fixed Income,"Long-term Bonds, Interest Rates",Low,30000,-5.00%,Medium,4.50%
SHY,iShares 1-3 Year Treasury Bond ETF,Invests in short-term U.S. Treasury bonds.,0.15,Fixed Income,"Short-term Bonds, Interest Rates",Low,20000,1.00%,Low,5.00%
IEF,iShares 7-10 Year Treasury Bond ETF,Invests in intermediate-term U.S. Treasury bonds.,0.15,Fixed Income,"Intermediate-term Bonds, Interest Rates",Low,15000,0.50%,Low,4.70%
AGG,iShares Core U.S. Aggregate Bond ETF,Tracks the broad U.S. investment-grade bond market.,0.03,Fixed Income,"Broad Market Bonds, Income",Low,100000,2.00%,Low,3.50%
BND,Vanguard Total Bond Market ETF,Tracks the total U.S. investment-grade bond market.,0.03,Fixed Income,"Broad Market Bonds, Income",Low,100000,2.00%,Low,3.50%
TIP,iShares TIPS Bond ETF,Invests in U.S. Treasury Inflation-Protected Securities (TIPS).,0.19,Fixed Income,"Inflation Protection, TIPS",Low,25000,0.50%,Low,2.50%
CWB,SPDR Barclays Convertible Securities ETF,Invests in convertible bonds.,0.4,Fixed Income,"Convertible Bonds, Hybrid Securities",Medium,5000,8.00%,Medium,3.00%
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,Invests in U.S. dollar-denominated emerging market sovereign bonds.,0.39,Fixed Income,"Emerging Market Debt, Income",Medium,10000,3.00%,Medium,6.00%
PCY,Invesco Emerging Markets Sovereign Debt ETF,Another ETF focused on emerging market sovereign debt.,0.5,Fixed Income,"Emerging Market Debt, Income",Medium,2000,3.20%,Medium,6.20%
VWOB,Vanguard Emerging Markets Government Bond ETF,Invests in U.S. dollar-denominated government bonds from emerging markets.,0.2,Fixed Income,"Emerging Market Debt, Income",Medium,5000,3.50%,Medium,5.80%
BNDX,Vanguard Total International Bond ETF,Tracks the total non-U.S. dollar-denominated investment-grade bond market.,0.08,Fixed Income,"International Bonds, Global Diversification",Low,50000,1.00%,Low,1.80%
IAGG,BlackRock Aggregate Bond ETF,Invests in a broad range of global investment-grade bonds.,0.08,Fixed Income,"Global Bonds, Diversification",Low,1000,1.50%,Low,2.00%
HYLD,YieldShares High Income ETF,A multi-asset class income ETF that invests in various high-income strategies.,1.65,Multi-Asset,"High Income, Multi-Asset",Medium,50,7.00%,Medium,7.00%
ALTY,Global X Alternative Income ETF,Invests in alternative income-generating asset classes.,0.75,Multi-Asset,"Alternative Income, Diversification",Medium,30,5.00%,Medium,4.00%
QYLD,Global X Nasdaq 100 Covered Call ETF,Generates income by selling covered calls on the Nasdaq 100 index.,0.6,Technology,"Covered Call, Income",Medium,7000,15.00%,Low,12.00%
RYLD,Global X Russell 2000 Covered Call ETF,Generates income by selling covered calls on the Russell 2000 index.,0.6,Multi-Sector,"Covered Call, Income",Medium,500,10.00%,Medium,10.00%
XYLD,Global X S&P 500 Covered Call ETF,Generates income by selling covered calls on the S&P 500 index.,0.6,Multi-Sector,"Covered Call, Income",Medium,2000,12.00%,Low,10.00%
JEPI,JPMorgan Equity Premium Income ETF,Actively managed ETF generating income through options and equity exposure.,0.35,Multi-Sector,"Income, Options Strategy",Medium,30000,15.00%,Low,8.00%
TLTW,iShares 20+ Year Treasury Bond BuyWrite Strategy ETF,Combines long-term Treasury bonds with covered calls for income.,0.35,Fixed Income,"Covered Call, Income, Bonds",Low,500,8.00%,Low,10.00%
FNGS,MicroSectors FANG+ Index 3X Leveraged ETN,Provides 3x leveraged exposure to the FANG+ Index.,0.95,Technology,"Leveraged Tech, FANG",Extremely High,500,80.00%,Extremely High,0.00%
SOXL,Direxion Daily Semiconductor Bull 3X Shares,Provides 3x leveraged exposure to a semiconductor index.,0.93,Technology,"Leveraged Semis, Growth",Extremely High,10000,150.00%,Extremely High,0.00%
SQQQ,ProShares UltraPro Short QQQ,Provides -3x leveraged inverse exposure to the Nasdaq 100 Index.,0.95,Technology,"Leveraged Inverse, Nasdaq",Extremely High,5000,-90.00%,Extremely High,0.00%
TQQQ,ProShares UltraPro QQQ,Provides 3x leveraged exposure to the Nasdaq 100 Index.,0.95,Technology,"Leveraged Tech, Nasdaq",Extremely High,20000,90.00%,Extremely High,0.00%
UVXY,ProShares Ultra VIX Short-Term Futures ETF,"Provides leveraged exposure to short-term VIX futures, a volatility measure.",1.65,Multi-Sector,"Volatility, Futures",Extremely High,800,-70.00%,Extremely High,0.00%
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,Tracks short-term VIX futures.,0.89,Multi-Sector,"Volatility, Futures",Extremely High,500,-50.00%,Extremely High,0.00%
UPRO,ProShares UltraPro S&P500,Provides 3x leveraged exposure to the S&P 500 Index.,0.95,Multi-Sector,Leveraged Broad Market,Extremely High,3000,50.00%,Extremely High,0.00%
SPXS,Direxion Daily S&P 500 Bear 3X Shares,Provides -3x leveraged inverse exposure to the S&P 500 Index.,1,Multi-Sector,Leveraged Inverse Broad Market,Extremely High,500,-40.00%,Extremely High,0.00%
KOMP,SPDR S&P Kensho New Economies Composite ETF,Provides exposure to companies across various disruptive innovation themes.,0.2,Multi-Sector,"Innovation, Disruptive Tech",Medium,1000,14.10%,Medium,0.80%
ALTY,Global X Alternative Income ETF,Invests in alternative income-generating asset classes.,0.75,Multi-Asset,"Alternative Income, Diversification",Medium,30,5.00%,Medium,4.00%
ARKF,ARK FinTech Innovation ETF,Actively managed fund focusing on companies involved in financial technology.,0.75,Financials,"FinTech, Innovation",High,900,-3.50%,High,0.00%
BLOK,Amplify Transformational Data Sharing ETF,"Actively managed, invests in companies involved in blockchain technology and cryptocurrency ecosystems.",0.71,Technology,"Blockchain, Crypto",Very High,500,35.00%,Extremely High,0.00%
CHIQ,Global X MSCI China Consumer Discretionary ETF,Provides exposure to the consumer discretionary sector in China.,0.66,Consumer Discretionary,"China Consumption, E-commerce",Medium,250,-18.20%,High,0.50%
CIBR,First Trust NASDAQ Cybersecurity ETF,Tracks companies involved in cybersecurity.,0.6,Technology,Cybersecurity,Medium,4000,20.50%,Medium,0.00%
CLOU,Global X Cloud Computing ETF,Invests in companies positioned to benefit from cloud computing technology.,0.68,Technology,"Cloud Computing, Software",Medium,1100,15.30%,Medium,0.00%
DRIV,Global X Autonomous & Electric Vehicles ETF,"Invests in companies involved in autonomous vehicles, electric vehicles, and related technologies.",0.68,Consumer Discretionary,"EVs, Autonomous Vehicles, Automotive Tech",High,1500,-8.90%,High,0.00%
EBIZ,Global X E-commerce ETF,Invests in companies that have significant exposure to the e-commerce industry.,0.68,Consumer Discretionary,"E-commerce, Digital Retail",Medium,100,-12.50%,High,0.00%
EDOC,Global X Telemedicine & Digital Health ETF,Focuses on companies providing telemedicine and digital health solutions.,0.68,Healthcare,"Telemedicine, Digital Health",Medium,150,-1.50%,Medium,0.00%
FINX,Global X FinTech ETF,Targets companies providing financial technology.,0.68,Financials,"FinTech, Digital Payments, Blockchain",Medium,700,10.50%,Medium,0.10%
GNOM,Global X Genomics & Biotechnology ETF,Focuses on the genomics and biotechnology revolution.,0.5,Healthcare,"Genomics, Biotechnology",High,200,-8.70%,High,0.00%
GTEK,Goldman Sachs Future Tech Leaders Equity ETF,Actively managed ETF investing in innovative technology companies.,0.75,Technology,"Future Tech, Innovation",High,50,18.00%,High,0.00%
HERO,Global X Video Games & Esports ETF,"Provides exposure to companies involved in video game development, esports, and related hardware and software.",0.5,Communication Services,"Gaming, Esports",Medium,300,9.50%,Medium,0.00%
HYDR,Global X Hydrogen ETF,Invests in companies that stand to benefit from the advancement of the global hydrogen economy.,0.69,Industrials,"Hydrogen, Clean Energy",High,120,-22.00%,High,0.00%
ICLN,iShares Global Clean Energy ETF,"Targets global companies that produce energy from solar, wind, and other renewable sources.",0.42,Utilities,"Clean Energy, Renewables",Medium,6100,-15.40%,Medium,1.52%
IPAY,ETFMG Prime Mobile Payments ETF,Targets companies positioned to benefit from the increasing adoption of mobile payment technology.,0.75,Technology,"Mobile Payments, FinTech",Medium,300,8.10%,Medium,0.00%
KROP,Global X AgTech & Food Innovation ETF,Invests in companies that are involved in agricultural technology and innovative food production.,0.5,Consumer Staples,"AgTech, Food Innovation",Medium,70,6.20%,Medium,0.00%
LIT,Global X Lithium & Battery Tech ETF,Tracks companies involved in the full lithium cycle.,0.75,Basic Materials,"Lithium, Battery Technology, EVs",Medium,3000,-20.10%,High,0.55%
LOUP,Innovative Technology & Lifestyles ETF,"Invests in companies leading innovation in areas such as AI, robotics, and future transportation.",0.75,Technology,"Innovation, Future Tech",High,40,12.00%,High,0.00%
MILN,Global X Millennial Consumer ETF,Targets companies that cater to the spending habits of the millennial generation.,0.5,Consumer Discretionary,"Millennial Economy, Consumer Trends",Medium,60,-2.00%,Medium,0.00%
PAVE,Global X U.S. Infrastructure Development ETF,Invests in companies that stand to benefit from increased infrastructure activity in the United States.,0.47,Industrials,"Infrastructure, Construction",Medium,1000,11.30%,Medium,0.90%
PMPY,Invesco Global Listed Private Equity ETF,Invests in publicly traded companies that are involved in private equity.,0.6,Financials,Private Equity,Medium,80,15.00%,Medium,2.00%
QTUM,Defiance Quantum ETF,"Focuses on companies at the forefront of quantum computing, AI, and machine learning.",0.95,Technology,"Quantum Computing, AI",Very High,70,28.00%,Very High,0.00%
RAYS,Global X Solar ETF,Focuses on companies that are positioned to benefit from the adoption of solar energy technology.,0.69,Utilities,"Solar Energy, Renewables",Medium,180,-25.00%,High,0.00%
ROBO,ROBO Global Robotics and Automation Index ETF,"Provides exposure to global robotics, automation, and artificial intelligence sectors.",0.95,Industrials,"Robotics, Automation, AI",High,2000,12.80%,High,0.20%
RVNU,RiverFront Dynamic US Dividend ETF,Seeks to invest in dividend-paying U.S. companies across various sectors.,0.85,Multi-Sector,"Income, Dividend Growth",Medium,100,8.50%,Medium,3.50%
SBUG,AXS Esoterica NextG ETF,Focuses on next-generation cybersecurity companies.,0.75,Technology,"Cybersecurity, NextGen Tech",High,30,18.00%,High,0.00%
SNSR,First Trust Indxx IoT ETF,Focuses on companies involved in the Internet of Things (IoT).,0.7,Technology,"IoT, Connected Devices",Medium,200,10.00%,Medium,0.00%
VCAR,ETFMG Electric Vehicles and Future Mobility ETF,"Provides exposure to companies involved in electric vehicles, autonomous driving, and future mobility.",0.6,Consumer Discretionary,"EVs, Autonomous Vehicles",High,90,-5.00%,High,0.00%
WCLE,Wahed FTSE USA Shariah ETF,Invests in Shariah-compliant U.S. companies across various sectors.,0.5,Multi-Sector,"Shariah-compliant, Ethical Investing",Medium,50,10.00%,Medium,1.50%
WNDY,Global X Wind Energy ETF,Invests in companies that are positioned to benefit from the adoption of wind energy technology.,0.69,Utilities,"Wind Energy, Renewables",Medium,80,-18.50%,High,0.00%
XHE,SPDR S&P Health Care Equipment ETF,Invests in companies that are part of the healthcare equipment and supplies industry.,0.35,Healthcare,"Medical Devices, Healthcare Tech",Medium,500,8.00%,Medium,0.50%
